locus_tag	LC	6H	12H	1D	2D	3D	5D	7D	14D	1M	2M
B4U62_00220	0.042353341	0.664238652	-0.014960802	0	0.123543917	-0.026401764	-0.037283799	0.013698309	0.098601796	-0.017065567	-1.875135557
B4U62_00225	0.685935467	0.97570796	0.431589386	0.44636176	0.282814396	0	-0.018017675	-0.177077897	-1.167792878	-0.444677685	-2.346927358
B4U62_00230	0.138234318	0.936625232	-0.219000923	0	0.105121283	-0.232666809	0.161667792	0.08443906	-0.55774374	-0.70148254	-2.283048238
B4U62_00235	-0.069781878	1.382236526	0	0.161532155	0.308514997	-0.103277666	0.249623123	0.023016964	-0.819323206	-1.166687313	-2.696630797
B4U62_00240	0.363465928	0.801665632	0	0.021112352	0.283161665	-0.199676578	0.043504474	-0.012640657	-0.720411799	-0.706368559	-2.351558802
B4U62_00245	-0.79770712	2.394730448	1.143551144	1.431479836	0.778316922	0.143437805	0	-1.175967311	-2.611209633	-0.626031593	-1.966290479
B4U62_00250	0	0.986069857	0.443548579	0.193257524	0.146183795	0.148906902	-0.060206027	-0.250578375	-2.061127479	-1.72436494	-4.296889041
B4U62_00255	0.647053623	0.733292929	0.584719857	0.508789569	0.360003868	0	-0.060898726	-0.386757894	-0.366396186	-1.179306608	-3.999907392
B4U62_00260	-1.860605037	0.984752865	-0.320168876	0	0.73989983	1.551141526	1.46139426	1.043199851	-0.79639219	-0.949573441	-3.264308845
B4U62_00265	-1.734553931	1.018520606	-0.225519785	0.121054023	0	0.258749804	0.691954795	0.308055296	-0.327438496	-0.865358936	-3.018332962
B4U62_00270	0.512984043	1.04324133	-0.433641501	-0.012869621	0	0.232260527	0.643996418	0.200468006	-0.118288573	-0.561383911	-3.123920261
B4U62_00275	-2.114538529	-3.035853659	-3.841858869	-3.519567564	2.341998923	3.293443296	4.385479081	3.937984701	2.627043929	0	-2.809586342
B4U62_00280	-0.778678677	0.082548902	1.718794714	1.741886698	1.425508827	0	0.46310234	-0.521990689	-1.990078303	-0.424748444	-3.057524116
B4U62_00285	-4.266891739	-3.193785236	-2.092257362	-1.683546892	0	-0.118702093	0.353694663	0.146563651	5.810906803	7.556416546	7.0181145
B4U62_00290	-0.053623208	0.673715437	-0.173799493	-0.345810842	0	0.105676223	0.324238993	0.409590661	0.813693542	-1.335157073	-4.057171637
B4U62_00295	-0.029746557	0.706967808	-0.250822747	0	0.032530777	0.155791039	0.307756185	0.383924366	-0.124758417	-1.550699033	-3.879155826
B4U62_00300	-0.556773751	0.111097455	-0.563163462	-0.340998336	0	0.377361203	0.333394258	0.545111712	0.262248311	-1.662866319	-3.931916386
B4U62_00305	0.652130535	0	0.654731725	0.726458981	0.774667229	0.014216851	-0.930694408	-0.045171361	-1.72429448	-1.545685558	-4.224128001
B4U62_00310	-1.013984513	1.094912196	0.094504397	0	0.229384858	0.154965671	-0.115238508	0.485784062	-1.123094818	-1.370541787	-3.847390791
B4U62_00315	-1.029999677	1.055409285	0.009776287	0	0.268550457	0.216970386	-0.104415689	0.429050503	-0.776441767	-1.339782714	-3.666186461
B4U62_00320	2.177853772	-3.133086387	-0.62609429	-2.67219203	-0.758340138	0.323813498	0	0.103990826	1.026505461	0.486079243	-1.216304749
B4U62_00325	0.260865714	-0.860077744	-0.996910124	-1.276129714	0.113536892	1.47928321	1.051437924	1.529059579	0	-0.237186568	-1.732473571
B4U62_00330	0	-0.082655958	-0.313299306	-0.71843326	1.155726827	2.57503888	2.190892321	2.156336381	0.352804315	-0.105738702	-0.950033149
B4U62_00335	0.663850697	0	-0.09244816	-0.847055251	-0.028977127	0.968002887	0.582425999	0.428931693	0.925624093	-0.244098231	-2.133993074
B4U62_00340	-0.721012222	0.249873944	-0.307858968	-0.863292451	0.773283599	1.976853705	2.322463766	1.874956201	0	-0.350886098	-2.129914625
B4U62_00345	-1.700360621	1.137031448	-0.024687513	-0.257054604	0.583448294	0.257166797	0.480625103	0	1.023737646	-0.567665125	-2.048826237
B4U62_00350	-0.414444113	1.623079532	0.946800579	0.668949712	0.441178136	-0.002319357	0.010784779	0	-0.033677419	-0.741131862	-2.463526033
B4U62_00355	0.290966382	1.468254162	1.185599759	0.685277405	0.104180069	0	-0.034799666	-0.093218549	-1.583398256	-1.170228297	-2.497231723
B4U62_00360	-1.142231183	0.074743773	0	-0.832840787	0.174736302	0.855604223	1.148741024	0.495131632	-0.152058056	-1.734150178	-4.232899041
B4U62_00365	-1.491718117	0.019612815	-0.431641212	-0.949101897	0	0.856808436	0.818052181	0.535838882	0.990322147	-0.005198286	-0.813328402
B4U62_00370	-0.022595583	0.45534528	0	-0.157793428	0.312880202	0.466954182	0.204871694	0.604456698	-0.290893463	-0.838004484	-1.195800505
B4U62_00375	1.496639061	1.782359825	1.679203532	1.709962339	0.78420223	0	-0.177453423	-0.578002191	-2.454956623	-1.142045723	-3.026318418
B4U62_00390	1.34106128	-1.674227406	-2.102580012	-2.294208913	0	1.266547318	0.96983719	2.130904396	1.123190086	-0.951849223	-2.726038982
B4U62_00395	0.637660074	-1.780360855	-2.397780359	-2.03229568	0	1.109294954	0.848642109	1.768846101	0.431028168	-0.976083402	-2.6038207
B4U62_00400	-0.211280593	-2.052648574	-2.684477192	-2.398780533	0	1.144998802	0.919720623	1.415725918	1.054526976	0.364485127	-1.39214626
B4U62_00405	-1.476199396	-0.020118531	-0.246649545	0	0.378813401	0.675902975	0.59964887	0.535010564	0.014971042	-0.264489	-2.166584171
B4U62_00410	-2.657393191	0.101018073	-0.357683032	-0.256492686	0.166031838	0.031640497	0.36828419	0.100593478	0	-0.396556931	-2.674999416
B4U62_00415	0.252575839	0.401945267	-0.107454495	0.01007988	0.147557397	-0.055941057	0.157222846	-0.173740231	0	-0.41024548	-2.422350706
B4U62_00420	-1.452154641	0.907461957	0	0.104469703	0.159148093	-0.001199964	0.22087402	0.005258513	-0.926262532	-0.702126398	-2.007103517
B4U62_00425	0.434502448	0.979537276	-0.095890698	0.135448794	0.36659118	0	0.189646005	-0.062993865	-0.012249239	-0.814205467	-2.790021157
B4U62_00430	-1.856700355	0.949932351	-0.412563031	0	0.469042858	0.509462486	0.377884849	0.248463038	-0.83131913	-1.156438599	-2.49403267
B4U62_00435	-2.569130042	0.648913007	0.567506418	0.481401624	-0.717839851	0.259142737	-0.720225155	-0.240081494	0	0.230120899	-1.898331344
B4U62_00440	-1.449287431	0	0.601149537	0.492679565	0.092556727	0.29904751	-0.336706213	0.3116067	-0.685713308	-0.413311372	-1.68361104
B4U62_00445	-0.268082684	0.029331874	1.347288101	0	0.141043353	-0.180325345	-0.053766563	0.062025137	0.863649194	-0.237222279	-2.533614593
B4U62_00450	-0.52995099	0.604964919	0.969759093	0.430909118	0.25267248	0	-0.069519878	-0.047153498	0.094964486	-0.307706351	-1.940222765
B4U62_00455	0	0.351435476	0.533226559	0.143673079	0.13141391	-0.055546041	-0.057299362	-0.044733305	0.304708994	-0.777964545	-2.097880665
B4U62_00460	0	0.217714175	0.683813462	0.197373033	0.268449694	0.010645929	-0.097357179	-0.353017652	-0.765138183	-0.977675162	-3.773690308
B4U62_00465	0.691600673	0.245649698	0.556533333	0	0.128031404	0.012571907	-0.060147637	-0.234207053	-0.820007383	-0.684069112	-2.434280568
B4U62_00470	0	0.962577784	0.401335557	0.559478291	0.160342748	0.089967134	-0.119040654	-0.060850015	-1.322760734	-1.365270259	-3.200068325
B4U62_00475	2.14362448	0.606566764	-0.012302276	-0.032358438	0.122403678	0	0.078594321	0.097805011	-0.379010553	-1.073367338	-3.016491129
B4U62_00480	2.313802111	0.744918322	-0.183669036	-0.121844476	0	0.149709428	0.259296644	0.142721532	-0.22925528	-1.248299703	-3.177333346
B4U62_00560	0.501439758	-2.003122172	-1.13669335	-1.142168301	0.362795201	1.05155099	0.968692304	0.897302464	-0.930175795	0	-0.176906109
B4U62_00565	0.115397845	-3.273838243	-1.449223199	-2.448455314	-0.808599927	0.265098941	0.213170813	0.700935049	-0.235083647	0.423303168	0
B4U62_00570	0	-2.590881569	-1.279052932	-2.081655288	-0.472803449	0.346724432	0.349050119	0.681791222	1.041205255	0.821458487	-1.112657881
B4U62_00575	2.328309295	-2.620446686	-0.121620735	-2.042421353	-0.61634291	0.139590896	0	0.320186014	1.286427744	0.627139478	-1.230846532
B4U62_00580	1.452328851	-1.988226953	-0.614135293	-1.983703949	-0.712736315	0	0.242194051	0.599027286	1.909393993	1.379471564	-1.05943276
B4U62_00585	0.425581768	-1.814152687	-0.632824703	-1.601106383	-0.578898278	0	0.19421474	0.262175814	0.672767357	0.704435797	-0.759340764
B4U62_00590	0.385221208	-1.495802616	-0.363933031	-1.230933719	-0.188006617	0.255707007	0.154939875	0	0.990836093	0.321747604	-1.325117512
B4U62_00595	0.366150909	-0.977132813	-0.015082073	-1.002374215	-0.068642935	0.190500722	0.10205873	0	1.15617802	0.357079929	-1.894356556
B4U62_00600	-1.526090588	0.409093429	0	-0.250465598	0.250653454	0.050634331	0.361788172	-0.185713614	1.271174267	-0.035750757	-4.726158914
B4U62_00605	0.130813314	0.639034279	0	-0.243622929	-0.11479531	0.211946289	0.433725142	0.168080152	-0.643975023	-1.197806277	-3.434773621
B4U62_00610	0.275547084	0	-0.070002032	-0.51467677	-0.167597294	0.389551007	0.783998812	0.253661283	1.200564578	-1.49867878	-3.324441269
B4U62_00620	0.414353838	-0.238812369	0.226535196	-0.589021041	0	0.058292293	0.27305347	0.423784571	-0.015289028	-1.228275048	-3.050598453
B4U62_00625	0.567475509	0.140025048	0.787352979	-0.014343068	0.261446539	0.038293134	0	-0.061381492	-0.519627214	-0.789718669	-2.468050794
B4U62_00630	1.15623216	0.159947222	0.756870656	0	0.301522397	-0.016597181	-0.094815298	-0.048469345	0.313528717	-0.928965759	-2.732176406
B4U62_00635	-0.290506111	0.478712473	0.649290752	0.139712565	0.5446479	-0.087236746	0	-0.323159235	0.366684471	-0.727864118	-3.024256432
B4U62_00640	-2.387161126	-0.169645328	-0.405171893	0.019997179	0.35263566	0	0.207455525	0.051884641	0.147714083	-0.181101127	-1.75005761
B4U62_00645	-2.722852656	1.191036859	0.009290989	0.876433482	0.642772438	0.323221958	0	-0.018967984	-1.911168669	-0.824226942	-1.402059438
B4U62_00650	-3.880001506	1.83429753	-0.295124746	1.772901655	1.159175854	0.458343492	0.187070677	0	-2.583000248	-1.219085404	-2.255193409
B4U62_00655	-1.38145277	1.710471617	0.877675373	1.09199772	0.621980749	-0.06999172	0.733862809	0	-1.493832822	-0.895132576	-2.913189932
B4U62_00660	-0.054076912	2.033151285	0.749146359	0.897238837	0.478504931	0	0.346286977	-0.382142872	-2.039103715	-1.114725935	-3.306526059
B4U62_00665	0	1.684297435	0.531208085	0.664587908	0.213322455	-0.294716924	0.269136763	-0.526942963	-1.614246301	-1.258874264	-2.981491332
B4U62_00670	-1.161453227	2.613836483	1.371378193	1.306067921	0.639658014	0	0.663644176	-0.147378931	-1.962830805	-1.054976203	-3.17448805
B4U62_00675	-0.738701679	2.492514508	1.043103829	1.191328486	0.584469799	0	0.527546593	-0.329099577	-2.167708101	-1.272079547	-3.341267039
B4U62_00680	-1.325880545	1.170778554	-0.040293272	0.290907173	0.588012198	0.28938394	0.706354155	0	-0.270264507	-0.883832126	-2.672234088
B4U62_00685	1.892981734	0.47957259	-0.044079594	0	0.05501786	-0.194726034	0.179826195	-0.25506473	0.215208064	-0.822022298	-2.777151923
B4U62_00690	3.414522277	0.326510706	0.14625261	-0.187739114	0	-0.199130272	0.027550934	-0.165940763	0.145292778	-0.774072472	-2.378855562
B4U62_00695	0.264975609	0.960119792	0.002906516	0.082127916	0.029905168	-0.346110739	0	-0.656509072	-2.170601399	-1.330329682	-2.922880527
B4U62_00700	0.920622928	1.211070074	0.281016053	0.212280582	0.119040005	-0.448515295	0	-0.700811672	-0.936589842	-1.322389789	-3.311841477
B4U62_00705	1.12043462	1.100826265	0.260257083	0.186688717	0.074688999	-0.415487282	0	-0.688396006	-1.79535671	-1.241397273	-2.953243058
B4U62_00710	1.19225637	1.144917425	0.292229791	0.265905965	0.04591444	-0.436224097	0	-0.660082938	-0.469601727	-1.144704044	-2.724783767
B4U62_00715	1.027748627	1.416802671	0.878311472	0.614031203	0.350070119	-0.138862149	0	-0.507649126	-0.50393126	-1.082464447	-2.900642753
B4U62_00720	-0.938360756	0	-0.182649761	0.146859183	0.15373108	0.407681925	0.325392627	0.461554353	-0.090775817	-0.551481852	-3.190475829
B4U62_00725	0	1.721937172	0.617949396	0.735834032	0.471490987	-0.242557673	0.432518481	-0.356353145	-1.938008427	-1.116999518	-3.169727158
B4U62_00730	1.126852329	1.230324722	0.243096355	0.176641216	0.055685905	-0.614559137	0	-0.712022607	-1.374022048	-1.147885969	-3.353722285
B4U62_00735	1.577997526	1.246568644	0.146672647	0.226553989	0.117537623	-0.519513916	0	-0.680543769	-0.927257787	-1.048829092	-2.524163163
B4U62_00740	1.916693224	1.283787071	0.379177988	0.280819337	0.179337467	-0.427077953	0	-0.648836678	-1.084364304	-0.808237535	-2.678365094
B4U62_00745	1.992121544	1.22868767	0.340478025	0.224373244	0.220125575	-0.457063739	0	-0.538975421	-0.671016323	-0.982646614	-2.735409466
B4U62_00750	2.12218803	1.026796943	0.3816969	0.110168713	0.258623754	-0.422661358	0	-0.512798891	-1.027878047	-0.91838041	-2.321285895
B4U62_00755	2.270955481	1.005434412	0.398140191	0.078206594	0.242110471	-0.317462249	0	-0.402185016	-0.259945561	-1.163554665	-2.241722419
B4U62_00760	2.389856055	1.02784753	0.466257036	0.124840354	0.163155101	-0.373827845	-0.021208108	-0.239764909	0	-0.895632768	-2.379639873
B4U62_00765	2.564208278	0.980511072	0.638927801	0.106104329	0.294407796	-0.346667826	-0.042885115	-0.276528119	0	-0.692407288	-2.097558985
B4U62_00770	2.824742376	1.237141505	0.779418581	0.192060163	0.435270245	-0.242794017	0	-0.348493953	-1.036612053	-0.704258566	-1.952808657
B4U62_00775	2.898168981	1.066795556	0.626283193	0.248675007	0.390010634	-0.372269452	0	-0.238790965	-1.708614722	-0.698115363	-1.880665579
B4U62_00780	2.941826124	1.083585325	0.706674283	0.252957561	0.448205274	-0.28108765	0	-0.129385246	-0.66248069	-0.702377344	-1.969880126
B4U62_00785	2.896598837	0.970181674	0.77052171	0.170865613	0.354123862	-0.27097737	-0.067437673	0	-0.660219845	-0.944272712	-2.191855881
B4U62_00790	2.820030874	0.92126754	0.785262392	0.144309477	0.370450864	-0.381536349	-0.092680104	0	-0.044554154	-0.849286375	-1.748829495
B4U62_00795	2.609622128	0.872003552	0.640721808	0	0.189880318	-0.214482297	-0.273036459	0.00729715	-0.858705746	-0.894500039	-1.732221758
B4U62_00800	2.833794694	0.993870975	0.907014813	0.192545694	0.309930224	-0.344005558	-0.091567869	0	-1.278114935	-0.950608811	-1.652561105
B4U62_00805	2.77461052	0.928545243	0.906656345	0.138522563	0.331134921	-0.403189371	-0.118834961	0	-0.292083432	-0.854933993	-2.291283328
B4U62_00810	2.69246774	0.784397346	0.844333881	0.004004548	0.12412852	-0.542542981	-0.317693686	-0.122364182	0	-1.076207156	-2.53113195
B4U62_00815	2.760000311	0.851809889	1.055775407	0.140625385	0.294545674	-0.429261369	-0.180401617	0	-0.315262411	-0.919626875	-2.337334538
B4U62_00820	2.503693569	0.889993432	1.12979268	0.142809617	0.248752316	-0.496346393	0	-0.525398553	-1.443638909	-1.049661143	-3.492712849
B4U62_00825	2.7336237	0.796202444	0.980874922	0.109939143	0.164149957	-0.459942506	-0.099006706	0	-0.646156476	-0.793121143	-2.694832485
B4U62_00830	1.141191175	0.663325404	0.918057966	0.263258172	0	-0.781924716	-0.365886352	-0.264779931	0.24725799	-0.848397529	-1.913290728
B4U62_00835	0.329097857	0.827149561	1.0685017	0.474281289	0.114525583	-0.517252552	-0.210303687	0	-0.472113668	-0.792972239	-2.003560422
B4U62_00840	-0.02474652	0.932679866	0.710480895	0.328476954	0.236740312	-0.429615317	0	0.074063403	-0.218127695	-0.830987528	-2.785294487
B4U62_00845	-0.144790332	0.938948672	0.612613992	0.239796006	0.182575557	-0.408279357	0.077331447	0	-1.238979831	-0.712909081	-1.536678156
B4U62_00850	-0.189967739	0.921873288	0.677262397	0.159192014	0.08895387	-0.386020993	0.082804289	0	-0.868684459	-0.885164294	-1.402847469
B4U62_00855	-0.199115206	1.116028163	1.12025715	0.475699791	0.491272867	0	0.037256045	-0.013738376	-0.940583233	-0.717866674	-2.98500081
B4U62_00860	0	0.919160187	1.07546322	0.209827828	0.295188124	-0.099670416	0.122068972	-0.025141635	-0.096969737	-0.700813412	-2.711242922
B4U62_00865	0.479920202	0.804476197	0.964471262	0.082954882	0.139808597	-0.323249137	-0.074477339	0	-0.210993353	-1.011261074	-2.592051152
B4U62_00870	0.667554545	0.875779074	0.911761132	0.1304422	0.086550355	-0.223079905	0	-0.072511397	-0.878948315	-1.096936607	-2.559843933
B4U62_00875	1.072364311	1.080775179	0.84869588	0.334365824	0.236668162	-0.064508863	0	-0.149503998	-1.354591306	-1.039357657	-2.897524555
B4U62_00880	0.14245101	0	-0.296871541	-0.298276814	0.060710542	-0.019042483	0.113378303	0.210136201	0.073928871	-1.016408714	-2.619778782
B4U62_00885	0.603294045	0.398165966	-0.060314198	-0.172840631	-0.041350687	0	0.054381118	0.26126617	0.604193941	-0.894423956	-1.885864475
B4U62_00890	0.394890923	0.857894974	-0.000875109	0.311116196	0.287964329	-0.174608568	0.195868609	0	-0.333076994	-0.731183402	-2.499891202
B4U62_00895	-0.811481166	1.567914889	0.489494708	0.53440753	0	-0.276409363	0.355670787	-0.009411442	0.285357405	-1.313753361	-3.333547468
B4U62_00900	0	1.365714273	0.19690952	0.376042109	0.156362784	-0.120820859	0.222451479	-0.322106501	-1.702748394	-1.488156822	-3.630329191
B4U62_00905	0.76791877	1.238688892	0.113578776	0.324287112	0	-0.099690281	0.088047848	-0.502786298	-0.556439002	-1.610791349	-3.876440435
B4U62_00910	-3.013602051	0.920004024	-0.209480429	0.699914621	0.641000233	0.364942824	0	0.21994545	-2.267441387	-1.762452396	-3.940058558
B4U62_00915	-0.896296217	-0.541512772	-1.284753446	-0.033662171	1.378013998	2.907135729	2.801255012	2.539325277	-0.048255939	0	0.626232107
B4U62_00920	-1.546984029	-0.866196318	-1.533707525	-0.554804939	1.635081568	2.928654368	3.165507153	3.361854902	2.61066262	0	-1.126467313
B4U62_00925	-0.769052443	-0.037295572	0.750853649	0.06529377	-0.135735588	0	0.0030078	0.132743687	0.132042795	-0.942170141	-2.989767919
B4U62_00930	-0.225147261	-1.28054926	0	-0.364262822	0.171816139	0.794612372	0.820961696	0.702871913	1.259709685	-0.113194289	-1.349259468
B4U62_00935	0.227140619	-1.322459993	-1.25347496	-0.749537576	0	0.77600262	0.795476038	0.679460741	0.411027883	-1.135206967	-3.302780976
B4U62_00940	0	-2.373429447	-1.991532937	-1.766821992	0.203016226	1.359313893	1.457871872	1.011373047	0.829362028	-1.374780236	-2.947578605
B4U62_01020	-2.339080592	0.020330097	-0.617052722	-0.012889363	0.305773277	0.226494308	0.190585942	0	0.119592776	-2.382422756	-2.4098659
B4U62_01025	0.754791597	1.748612659	0.54762788	0.648691364	0	-0.090356167	-0.131167443	-0.240932433	0.834291392	-0.1429279	-2.171603802
B4U62_01030	0.106398377	0	-0.756536255	-0.337919618	-0.270532395	0.055129268	0.001163522	0.038069747	1.148634459	-0.676713005	-3.324282877
B4U62_01035	0.234422816	-1.085872906	0.767225847	1.909682421	1.73286402	0.297664802	-0.666845117	-0.539738068	0	-0.706896931	-3.38426758
B4U62_01040	0.051064006	-1.164162692	0.768078362	1.913115622	1.595261431	0	-0.840765597	-0.741171815	0.720878334	-0.787879568	-3.384870723
B4U62_01045	1.599650473	-1.464557588	1.214469722	1.703644944	1.417703177	0	-1.099357172	-0.888141533	0.519799146	-0.684961908	-2.860008786
B4U62_01050	1.67576322	-0.973146913	2.324869028	2.2411561	2.006222555	0.531172218	-0.627714615	-0.500579177	-0.349221301	0	-2.116475347
B4U62_01055	0.844894411	-1.210422913	1.007646012	0.40860821	0.18046269	0	-0.944350313	-0.617765593	0.597237555	-0.314684884	-1.924622273
B4U62_01060	2.094024875	-4.019828642	-2.652376984	-3.299941987	0	1.15488885	0.908802223	1.684298315	1.164203202	-0.735464029	-3.428509096
B4U62_01065	1.819916384	-3.548488795	-2.062080401	-3.11030537	0	1.068562963	0.83876906	1.870958505	1.829408681	-0.705669209	-3.246534335
B4U62_01070	1.439467633	-3.367692845	-2.279667545	-3.268920388	0	1.182031261	0.891168161	1.853134685	1.83458784	-0.575228174	-3.059226153
B4U62_01075	0.673554124	-3.212305985	-1.876847722	-3.137899229	0	1.04828978	0.858551895	1.788291927	2.11215728	-0.616831916	-3.353069098
B4U62_01080	-0.495652318	-1.337665094	-0.223431981	-1.65897987	1.111726845	2.227779934	1.910635859	3.004996131	2.90894285	0	-2.864778902
B4U62_01085	-0.633228511	-0.686436212	-0.026118321	-1.077542055	1.213048745	2.231555535	1.971655209	2.868421398	2.642518021	0	-2.392950288
B4U62_01090	0	-0.050481936	1.561638715	0.048958028	-0.093845795	0.226337035	-0.163271601	0.813335124	1.045388887	-0.589582325	-2.330455916
B4U62_01095	-2.095188029	0.06845484	1.311705694	0.177569241	0	-0.237606052	-0.307585543	0.371562354	0.923631433	-0.737937432	-2.858098498
B4U62_01125	1.138362922	-0.376571507	-0.644289509	0	0.635064163	0.714911967	0.745060681	0.881941564	-0.897843779	-0.403991443	-3.491358404
B4U62_01130	1.292546468	-0.360021026	-0.591016159	0	0.471013113	0.585605753	0.466100407	0.873793549	-0.182593605	-0.403219127	-3.312377082
B4U62_01135	-1.779693966	0.815651645	0.426618338	0.842805477	0.410671112	0.162696419	0	-0.088565463	-0.838838257	-0.78306625	-2.780318203
B4U62_01140	-0.665408179	0.523988186	0.282462995	0.198859926	0.13282084	0	0.104322411	-0.14826743	-0.863634744	-1.113725526	-2.784531604
B4U62_01145	-0.359541072	1.041958585	0.308786643	0.534417638	0.361747312	0	0.189452117	-0.238968828	-0.381010697	-1.323753974	-3.311229681
B4U62_01150	-0.208033222	0.127612311	1.032126372	0	-0.517438398	-0.047085575	-0.496206024	0.392939207	1.038390518	0.401136178	-2.373883722
B4U62_01155	-0.530647362	0	-0.849551394	-0.287926415	0.851108136	1.844379346	1.502637408	1.707125126	0.098216452	-0.47956845	-2.398487137
B4U62_01160	1.040364598	-0.428778811	-0.806014656	-0.441989637	0	0.95212623	0.717863202	0.891275082	0.416482313	-0.558796895	-1.875862777
B4U62_01165	2.025820418	-0.124095631	0	-0.381161082	0.016478709	0.644346228	0.46572453	0.565318313	-0.301474901	-0.928946927	-0.928946927
B4U62_01170	0.439977328	1.222506789	-1.686132505	-0.531356258	0.491358044	0	-0.344618016	0.459784696	0.640475495	-0.020727388	-1.785136127
B4U62_01175	1.365034153	1.635911408	-0.24520172	-0.654354345	0.872689087	0	-0.315083977	0.082707189	0.673630028	-0.470289408	-2.876244176
